period,PRECTOTCORR,PRECTOTCORR_SUM,PS,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,TS,confirmed,suspected,untested_treated
2013-01-01,0.0,0.0,96.88,12.51,62.94,24.9,34.15,13.84,24.49,4028,,14108
2013-02-01,0.0,0.0,96.73,14.53,68.5,25.94,36.19,14.48,26.05,5554,,13036
2013-03-01,5.27,84.38,96.76,17.58,79.31,26.53,34.65,21.34,26.87,6166,,9040
2013-04-01,5.27,158.2,96.81,17.7,81.81,26.06,32.82,21.27,26.3,4821,,12161
2013-05-01,5.27,131.84,96.92,17.64,83.81,25.58,31.61,21.11,25.83,5958,,15281
2013-06-01,5.27,137.11,97.0,17.21,85.75,24.74,29.45,20.05,25.01,6986,,16472
2013-07-01,5.27,142.38,97.07,16.48,85.69,24.09,28.93,19.87,24.45,9687,,17236
2013-08-01,5.27,121.29,96.96,15.99,83.06,24.12,29.9,18.79,24.54,10269,,20508
2013-09-01,5.27,179.3,96.98,16.85,84.94,24.55,30.51,20.26,24.74,7008,,20658
2013-10-01,5.27,131.84,96.93,16.78,82.94,24.98,31.12,20.38,25.27,8344,,21633
2013-11-01,0.0,15.82,96.76,15.99,76.44,25.8,34.08,19.84,26.21,9111,,17414
2013-12-01,0.0,0.0,96.84,12.33,59.81,26.02,35.36,14.51,26.24,6383,,14292
2014-01-01,0.0,31.64,96.79,14.1,64.31,27.0,36.12,15.72,27.84,4906,7836.0,13677
2014-02-01,0.0,10.55,96.7,13.37,59.56,27.46,38.01,17.93,28.28,2994,6371.0,13295
2014-03-01,0.0,63.28,96.74,15.99,70.88,27.26,36.36,19.62,28.11,4354,9018.0,8933
2014-04-01,5.27,94.92,96.8,17.64,79.94,26.45,33.08,22.02,26.78,5096,9976.0,5087
2014-05-01,5.27,121.29,96.83,17.58,81.81,25.98,32.2,21.13,26.21,8937,14251.0,8512
2014-06-01,5.27,121.29,96.99,17.58,84.81,25.33,31.08,20.73,25.65,8425,18710.0,15576
2014-07-01,5.27,163.48,97.13,16.91,84.5,24.81,30.93,20.24,25.27,9083,17255.0,14025
2014-08-01,10.55,263.67,97.04,16.66,87.62,23.81,29.64,19.97,24.03,9047,19263.0,11997
2014-09-01,10.55,300.59,97.0,16.78,86.25,24.26,29.69,20.37,24.48,9121,20419.0,12966
2014-10-01,5.27,152.93,96.94,17.09,84.38,24.98,30.9,19.87,25.22,12047,22935.0,16709
2014-11-01,0.0,10.55,96.88,16.42,80.31,25.26,31.31,20.2,25.44,10524,19719.0,10701
2014-12-01,0.0,0.0,96.92,12.76,64.06,25.06,32.67,14.76,24.89,8164,16820.0,10185
2015-01-01,0.0,0.0,96.98,10.01,53.69,23.98,35.26,12.73,23.76,6293,17826.0,9734
2015-02-01,0.0,10.55,96.78,15.5,69.62,27.08,36.9,20.01,27.99,6196,20467.0,9324
2015-03-01,5.27,100.2,96.74,16.3,72.5,27.17,37.19,20.74,27.87,5870,18786.0,10032
2015-04-01,0.0,63.28,96.85,16.85,76.88,26.49,34.25,21.05,26.87,7384,17751.0,6397
2015-05-01,5.27,94.92,96.91,17.58,79.69,26.48,33.48,21.62,26.82,5319,11557.0,3547
2015-06-01,5.27,126.56,97.07,17.15,83.88,25.15,30.67,21.02,25.57,7052,15316.0,7615
2015-07-01,5.27,179.3,97.05,17.15,84.88,24.9,30.09,20.41,25.21,9239,17828.0,5774
2015-08-01,10.55,247.85,96.99,17.15,86.12,24.58,29.98,20.88,24.83,11195,18645.0,2776
2015-09-01,5.27,221.48,96.97,17.21,85.5,24.8,30.23,20.8,25.01,11946,21809.0,4910
2015-10-01,5.27,152.93,96.96,17.52,84.38,25.36,30.55,20.65,25.62,13234,26737.0,6775
2015-11-01,0.0,5.27,96.9,15.14,72.25,25.85,33.65,17.97,25.87,11666,22634.0,5460
2015-12-01,0.0,0.0,97.07,8.91,50.5,23.44,34.17,13.13,22.95,9822,20675.0,4617
2016-01-01,0.0,0.0,96.96,9.03,45.94,25.19,35.78,15.12,25.23,8481,19178.0,3499
2016-02-01,0.0,10.55,96.8,10.56,45.31,27.76,39.42,15.55,28.33,9271,19711.0,2742
2016-03-01,5.27,94.92,96.82,17.09,71.5,28.19,37.47,20.22,29.01,7515,16480.0,2331
2016-04-01,5.27,168.75,96.78,18.62,81.5,26.96,32.72,22.12,27.23,9917,20834.0,3529
2016-05-01,5.27,152.93,96.98,18.13,83.31,26.15,32.94,21.22,26.54,13514,26915.0,4179
2016-06-01,5.27,179.3,97.11,17.33,86.0,24.87,31.87,20.77,25.14,11772,24891.0,5442
2016-07-01,10.55,332.23,97.03,17.4,88.94,24.28,29.9,20.89,24.48,13580,24936.0,4115
